,Nitrogen,Phosphorous,potassium,organiccarbon,pH,,
,527,51,289,0.538912202,7,,
,444,48,272,0.691872429,7,,
,531,48,255,0.656608322,8,,
,409,48,276,0.725591998,8,,
,501,46,244,0.525386903,8,,
,484,48,263,0.683464224,8,,
,375,49,240,0.672551711,7,,
,379,51,257,0.418254082,7,,
,489,42,244,0.350896044,8,,
,386,45,251,0.755157374,8,,
,558,41,249,0.721989469,7,,
,334,39,251,0.48244353,7,,
,295,47,252,0.666959919,7,,
,530,38,238,0.43656825,8,,
,347,46,236,0.543182815,7,,
,520,44,287,0.480475146,8,,
,555,42,284,0.597065675,8,,
,410,50,261,0.654457911,7,,
,391,47,286,0.73056662,8,,
,384,38,248,0.528901921,8,,
,370,45,288,0.588141778,7,,
,534,39,266,0.378675599,8,,
,398,41,234,0.427094423,7,,
,322,45,271,0.509855558,6,,
,341,46,290,0.376840442,7,,
,523,49,282,0.715616201,8,,
,546,51,264,0.43299997,6,,
,458,38,277,0.525282539,8,,
,543,49,275,0.745108629,7,,
,486,45,247,0.378169503,6,,
,430,39,287,0.587632401,6,,
,290,40,246,0.472968429,5,,
,531,38,286,0.6431396,5,,
,502,50,238,0.725303723,7,,
,285,47,263,0.363907412,8,,
,387,41,277,0.379372934,8,,
,322,51,290,0.738427884,5,,
,297,42,290,0.378565071,5,,
,419,47,287,0.595753668,6,,
,353,46,240,0.743565831,7,,
,321,40,248,0.422720384,8,,
,287,42,245,0.564550041,5,,
,332,41,249,0.353835842,6,,
,390,41,249,0.544283258,8,,
,435,48,278,0.408635869,7,,
,494,47,270,0.466233097,5,,
,316,39,242,0.390531489,6,,
,559,51,242,0.491824506,6,,
,482,46,232,0.556341004,5,,
,467,38,262,0.703191339,5,,
,420,38,249,0.605301774,5,,
,546,47,269,0.742674181,7,,
,326,39,267,0.354547393,6,,
,461,38,232,0.665818657,5,,
,491,49,250,0.60021531,7,,
,391,39,257,0.729228445,6,,
,280,50,278,0.427327293,8,,
,539,49,272,0.736127845,5,,
,559,51,260,0.487773886,7,,
,474,41,250,0.420217151,5,,
,287,49,232,0.575336598,7,,
,427,49,238,0.674479117,7,,
,290,49,243,0.485158742,7,,
,339,47,273,0.445667883,7,,
,449,43,255,0.74616779,6,,
,536,51,263,0.410385534,8,,
,461,47,238,0.404851942,4,,
,348,47,247,0.413352678,5,,
,540,51,251,0.721361924,6,,
,559,41,245,0.403450419,6,,
,504,47,267,0.742501159,6,,
,548,39,257,0.404393327,6,,
,428,50,266,0.451140082,8,,
,465,42,259,0.436830647,6,,
,307,46,244,0.64882517,7,,
,311,44,260,0.372518017,5,,
,341,46,251,0.493026738,6,,
,530,46,242,0.607657173,8,,
,387,51,289,0.671511497,6,,
,393,44,253,0.540352214,8,,
,542,46,261,0.603010109,6,,
,537,42,249,0.36577964,8,,
,406,43,233,0.44462709,6,,
,401,40,280,0.526522641,7,,
,411,49,288,0.635948216,6,,
,555,50,264,0.745851688,8,,
,409,47,246,0.735725882,5,,
,475,40,242,0.740100878,8,,
,393,44,252,0.5536521,5,,
,326,47,243,0.63021419,7,,
,286,45,251,0.522737341,5,,
,459,48,270,0.536863511,6,,
,438,45,235,0.585007796,5,,
,342,47,248,0.531869274,6,,
,408,44,268,0.599196439,5,,
,356,42,243,0.737100481,8,,
,538,38,264,0.371901806,5,,
,513,49,234,0.621295632,6,,
,455,51,287,0.589729739,7,,
,300,40,280,0.593987096,5,,
,323,40,266,0.676849849,7,,
,516,51,282,0.686113033,7,,
,340,47,253,0.385026652,8,,
,285,47,240,0.573599985,8,,
,377,41,278,0.427150529,8,,
,480,41,251,0.454550454,8,,
,416,51,280,0.356413002,7,,
,503,49,271,0.472369286,7,,
,444,42,246,0.712814522,8,,
,362,49,246,0.688901926,8,,
,338,46,241,0.707895759,7,,
,375,50,290,0.752800241,7,,
,526,46,277,0.384665155,7,,
,401,50,269,0.433499725,8,,
,539,43,242,0.642270613,7,,
,437,42,272,0.607470911,8,,
,420,38,285,0.607327782,8,,
,357,42,255,0.448857716,7,,
,310,49,254,0.689570536,8,,
,339,41,239,0.604708312,8,,
,514,40,248,0.468359485,7,,
,349,49,233,0.357697275,8,,
,556,41,280,0.528249234,7,,
,381,48,241,0.350131684,6,,
,345,44,233,0.591338312,7,,
,307,45,277,0.670302739,8,,
,516,51,252,0.679970884,6,,
,320,48,236,0.513301556,8,,
,451,47,250,0.571800899,7,,
,336,51,255,0.581876281,6,,
,460,39,234,0.422872756,6,,
,479,46,232,0.721143813,5,,
,529,42,280,0.688899074,5,,
,291,47,247,0.54173329,7,,
,402,51,288,0.723645735,8,,
,424,49,281,0.601959037,8,,
,316,44,286,0.665508671,5,,
,316,49,260,0.72228527,5,,
,462,43,269,0.581521031,6,,
,282,38,235,0.709986837,7,,
,541,42,264,0.664212982,8,,
,503,47,248,0.73015537,5,,
,379,47,252,0.430184293,6,,
,378,47,232,0.712097016,8,,
,413,47,235,0.609324862,7,,
,390,46,246,0.70757325,5,,
,503,41,234,0.743767298,6,,
,291,47,273,0.712683412,6,,
,304,46,243,0.527238461,5,,
,410,38,256,0.726032213,5,,
,467,39,248,0.604838896,7,,
,398,38,246,0.367828621,7,,
,406,44,289,0.606209585,8,,
,430,42,241,0.389405224,8,,
,303,38,252,0.448759836,6,,
,282,49,249,0.400602453,5,,
,516,43,261,0.359013796,7,,
,461,38,260,0.402752249,8,,
,435,51,281,0.696027212,8,,
,291,40,290,0.684070842,8,,
,440,43,281,0.657755111,7,,
,464,43,242,0.551005397,6,,
,328,40,256,0.646481261,5,,
,307,41,247,0.636676421,7,,
,518,39,278,0.496335021,5,,
,372,50,272,0.415055637,8,,
,418,38,259,0.39506606,8,,
,372,38,264,0.431616983,8,,
,502,43,256,0.705639204,8,,
,397,47,235,0.750362706,5,,
,558,39,252,0.524712541,6,,
,521,49,239,0.625442784,6,,
,387,51,288,0.587286366,6,,
,469,41,238,0.446959199,7,,
,480,43,273,0.70324905,5,,
,334,49,285,0.583236791,5,,
,406,41,240,0.392551192,5,,
,424,40,284,0.590603433,5,,
,535,51,234,0.59239023,7,,
,295,47,232,0.676957432,7,,
,402,48,256,0.469757319,7,,
,376,49,232,0.353158769,6,,
,491,43,250,0.613208682,5,,
,542,44,261,0.664582974,8,,
,430,49,232,0.392647551,4,,
,528,42,249,0.610392901,8,,
,522,48,276,0.394312892,6,,
,385,43,256,0.595028784,8,,
,493,39,232,0.466778001,6,,
,391,45,269,0.433307886,8,,
,559,38,277,0.751053147,7,,
,322,42,258,0.663129203,5,,
,310,46,233,0.757247875,6,,
,345,51,271,0.634890424,7,,
,334,40,239,0.668261644,8,,
,366,50,284,0.410826516,6,,
,328,44,258,0.725569922,5,,
,389,40,264,0.574413131,7,,
,471,45,253,0.411489254,5,,
,401,40,248,0.618435763,6,,
,553,40,256,0.580202604,4,,
,475,42,264,0.401871281,5,,
,471,41,255,0.747075434,6,,
,409,38,283,0.591522302,7,,
,452,46,272,0.510025406,8,,
,378,44,252,0.547446161,5,,
,313,39,257,0.683691472,6,,
,556,51,250,0.394692441,7,,
,331,41,264,0.743111117,8,,
,314,42,283,0.438571369,6,,
,523,46,265,0.37557119,7,,
,553,38,275,0.618202727,6,,
,392,51,235,0.739825326,8,,
,394,47,288,0.422513547,7,,
,546,40,242,0.545883446,5,,
,321,40,240,0.435751542,4,,
,432,38,250,0.364521676,8,,
,317,45,282,0.399982066,6,,
,349,46,285,0.498130073,8,,
,359,40,271,0.585832834,7,,
,450,44,281,0.609088371,6,,
,430,51,246,0.383347297,8,,
,477,49,241,0.359659748,6,,
,462,51,266,0.676235318,8,,
,517,46,244,0.451410054,7,,
,408,51,257,0.427088594,7,,
,461,42,255,0.750047284,7,,
,336,45,290,0.631398788,8,,
,481,49,263,0.69002213,4,,
,322,41,233,0.452538961,5,,
,403,42,235,0.694922126,5,,
,539,49,242,0.41292349,6,,
,391,39,239,0.627228631,6,,
,447,38,272,0.576023344,6,,
,466,51,257,0.655366793,5,,
,397,39,239,0.553800831,5,,
,381,43,233,0.417012275,8,,
,390,41,239,0.416476565,8,,
,508,38,282,0.491365597,7,,
,412,48,232,0.59647327,7,,
,420,51,273,0.574587832,4,,
,352,38,243,0.554079063,6,,
,557,38,240,0.729404674,6,,
,352,47,284,0.727035271,6,,
,526,48,286,0.545789365,5,,
,394,38,272,0.431051549,5,,
,489,45,248,0.732604394,8,,
,559,47,280,0.722049766,7,,
,389,41,237,0.755563164,5,,
,487,40,259,0.595887761,6,,
,312,46,269,0.589786265,5,,
,365,41,238,0.479647634,7,,
,499,41,268,0.46004656,6,,
,383,38,273,0.697457798,5,,
,503,50,275,0.455577599,7,,
,517,43,246,0.368251158,6,,
,330,46,270,0.747631365,8,,
,435,43,281,0.40066654,5,,
,411,46,244,0.385123151,7,,
,314,48,268,0.534562501,5,,
,447,41,267,0.450473674,7,,
,345,51,277,0.611520436,7,,
,337,38,289,0.692214147,7,,
,350,41,260,0.359654402,7,,
,496,40,245,0.639946777,6,,
,446,47,268,0.414293841,8,,
,431,44,287,0.483945282,4,,
,358,45,266,0.505523474,5,,
,405,49,258,0.489727276,6,,
,377,50,276,0.717702374,6,,
,546,46,269,0.433717047,6,,
,361,39,235,0.688634825,6,,
,395,50,233,0.605321318,8,,
,353,38,246,0.522342542,6,,
,548,46,246,0.6945175,7,,
,320,47,270,0.415504904,5,,
,364,39,233,0.696945413,6,,
,364,43,261,0.722244533,8,,
,285,42,272,0.386541278,6,,
,514,41,287,0.524802197,8,,
,439,51,279,0.581849613,6,,
,339,44,232,0.402931727,8,,
,495,50,249,0.542511798,6,,
,424,50,237,0.724664357,7,,
,520,44,236,0.551701019,6,,
,547,51,259,0.416724386,8,,
,452,48,286,0.656770532,5,,
,300,51,278,0.510803284,8,,
,294,49,262,0.463262216,5,,
,527,50,276,0.598238089,7,,
,548,51,235,0.753056875,5,,
,436,50,274,0.473538076,6,,
,376,42,283,0.534706125,5,,
,528,41,280,0.597954836,6,,
,394,50,262,0.637601143,5,,
,502,42,289,0.373345545,8,,
,305,40,274,0.659323222,5,,
,365,40,243,0.484409736,6,,
,383,38,286,0.502756051,7,,
,471,39,249,0.604592449,5,,
